"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée Honoré d'Estienne d'Orves (Beau-Site),Provence Alpes Côte d'Azur,BTS - Services - Economie sociale familiale,36.0
Public,Lycée Les Eucalyptus,Provence Alpes Côte d'Azur,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),7.0
Privé sous contrat d'association,Institut Sainte Marie de Chavagnes,Provence Alpes Côte d'Azur,BTS - Services - Tourisme,65.0
Privé sous contrat d'association,Lycée Stanislas,Provence Alpes Côte d'Azur,CPGE - MPSI,100.0
Privé sous contrat d'association,Lycée Stanislas,Provence Alpes Côte d'Azur,CPGE - ECG,100.0
Privé sous contrat d'association,Lycée Stanislas,Provence Alpes Côte d'Azur,BTS - Services - Management Commercial Opérationnel,75.0
Privé sous contrat d'association,Lycée Fenelon,Provence Alpes Côte d'Azur,BTS - Services - Commerce International,61.0
Privé sous contrat d'association,Lycée Saint Joseph,Provence Alpes Côte d'Azur,BTS - Services - Gestion de la PME,18.0
Privé hors contrat,Hetis : Haute école du travail et de l'intervention sociale,Provence Alpes Côte d'Azur,D.E Educateur Spécialisé,59.0
Privé sous contrat d'association,IFSI Sainte Marie,Provence Alpes Côte d'Azur,D.E Infirmier,71.0
Privé enseignement supérieur,IDRAC Business School - Campus de Nice,Provence Alpes Côte d'Azur,Formation des écoles de commerce et de management Bac + 3,86.0
Privé enseignement supérieur,ESRA - Nice,Provence Alpes Côte d'Azur,Formation des écoles supérieure d'art Bac + 3 - Etudes Supérieures en Réalisation Audiovisuelle,90.0
Privé enseignement supérieur,ESRA - Nice,Provence Alpes Côte d'Azur,Formation des écoles supérieure d'art Bac + 3 - Etudes Supérieures en Film d'Animation,81.0
Privé enseignement supérieur,IPAG Business School - Campus de Nice,Provence Alpes Côte d'Azur,BTS - Services - Communication,69.0
Public,Lycée Guillaume APOLLINAIRE,Provence Alpes Côte d'Azur,BTS - Production - Assistance technique d'ingénieur,36.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Licence - Sciences et technologies - Parcours Préparatoire au Professorat des Ecoles (PPPE),78.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Licence - Portail Droit,98.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Double licence - Sciences de la vie / Chimie - Double licence Chimie - Sciences de la Vie,99.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Espagnol",83.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Licence - Portail Sciences de la vie,98.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Licence - Langues étrangères appliquées - Parcours Anglais - Arabe,75.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Double licence - Sciences de la terre / Sciences de la vie - Double licence Sciences de la Terre - Sciences de la Vie,100.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,"Licence - Sciences de l'Homme, Anthropologie, Ethnologie",90.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Licence - Sciences du langage,83.0
Public,Université Côte d'Azur,Provence Alpes Côte d'Azur,Cycle pluridisciplinaire d'Études Supérieures - Sciences et société,100.0
Public,Lycée Boissy D'Anglas,Auvergne-Rhône-Alpes,"BTS - Services - Management Commercial Opérationnel (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",9.0
Public,Lycée professionnel Hotelier,Auvergne-Rhône-Alpes,"FCIL - Commercialisation, terroirs et arts de vivre",0.0
Privé sous contrat d'association,Institut Supérieur Saint-Denis,Auvergne-Rhône-Alpes,BTS - Services - Services informatiques aux organisations,43.0
Privé sous contrat d'association,Institut Supérieur Saint-Denis,Auvergne-Rhône-Alpes,BTS - Services - Comptabilité et gestion,30.0
Privé sous contrat d'association,Institut Supérieur Saint-Denis,Auvergne-Rhône-Alpes,BTS - Services - Gestion de la PME,20.0
Public,Lycée Xavier Mallet,Auvergne-Rhône-Alpes,"BTS - Services - Gestion de la PME (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",9.0
Public,"Centre de Ressources, d-Expertise et de Performance Sportive d-Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS)",Auvergne-Rhône-Alpes,BPJEPS - Spécialité Educateur sportif - Mention Canoë-Kayak en eau vive,100.0
Public,"Centre de Ressources, d-Expertise et de Performance Sportive d-Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS)",Auvergne-Rhône-Alpes,DEJEPS - Spécialité Perfectionnement sportif - MentionVélo tout terrain,43.0
Public,Lycée François Bazin,Grand Est,BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,18.0
Public,Lycée Monge,Grand Est,Mention complémentaire - Services numériques aux organisations,20.0
Public,Lycée Paul Verlaine,Grand Est,BTS - Services - Négociation et digitalisation de la Relation Client,20.0
Public,Lycée Paul Verlaine,Grand Est,FCIL - secrétariat médical,18.0
Public,Lycée Pierre Bayle,Grand Est,BTS - Services - Gestion de la PME,20.0
