"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Lycée Cesar Baggio,Hauts-de-France,"BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants",24.0
Public,Lycée Cesar Baggio,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",52.0
Public,Lycée Cesar Baggio,Hauts-de-France,BTS - Production - Electrotechnique,12.0
Public,Lycée Valentine Labbe,Hauts-de-France,CPGE - TB,0.0
Public,Lycée Valentine Labbe,Hauts-de-France,BTS - Services - Economie sociale familiale,15.0
Public,Lycée Jean Rostand,Hauts-de-France,BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image,86.0
Public,Lycée Jean Rostand,Hauts-de-France,Mention complémentaire - Dispositif SAS - Préparation à l'apprentissage,0.0
Public,Lycée Jean Rostand,Hauts-de-France,BTS - Services - Métiers de l'audio-visuel opt : montage et post-production,59.0
Public,Lycée Colbert,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",10.0
Public,Lycée Henri Wallon,Hauts-de-France,BTS - Services - Services informatiques aux organisations,18.0
Public,Lycée Henri Wallon,Hauts-de-France,CPGE - MPSI,100.0
Public,Lycée Henri Wallon,Hauts-de-France,BTS - Services - Banque conseiller de clientèle,46.0
Public,Lycée Henri Wallon,Hauts-de-France,CPGE - MP2I,100.0
Public,Lycée Antoine Watteau,Hauts-de-France,BTS - Services - Commerce International,61.0
Public,Lycée Antoine Watteau,Hauts-de-France,CPGE - Lettres,100.0
Public,Lycée Du Hainaut,Hauts-de-France,Mention complémentaire - Technicien(ne) en soudage,0.0
Public,Lycée Du Hainaut,Hauts-de-France,FCIL classe passerelle BTS,0.0
Public,Lycée professionnel César Baggio,Hauts-de-France,Mention complémentaire - Dispositif SAS - Préparation à l'apprentissage,0.0
Public,"Centre de Ressources, d'Expertise et de Performance Sportive de Wattignies (CREPS)",Hauts-de-France,BPJEPS - Spécialité Educateur sportif - Mention Activités physiques pour tous,71.0
Public,Ecole Nationale Supérieure d'Architecture et de Paysage de Lille,Hauts-de-France,Architecture,88.0
Privé enseignement supérieur,ICAM Lille,Hauts-de-France,Formation d'ingénieur Bac + 5,94.0
Privé enseignement supérieur,Institut Supérieur d'Expertise et d'Audit - Institut Catholique de Lille,Hauts-de-France,"Licence - Economie et gestion - Parcours Comptabilité, Finance et Audit",92.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,"Licence - Portail Pluridisciplinaire - Humanités-philosophie, éthique et religions",95.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Sciences de la vie - biologie,100.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Economie - Parcours Economie-Finance,100.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Pluridisciplinaire - Management de la RSE et sciences du développement durable Convention avec l?UPHF,89.0
Privé enseignement supérieur,"Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences",Hauts-de-France,Licence - Portail Economie - Licence internationale d'économie et gestion,100.0
Privé enseignement supérieur,Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Hauts-de-France,Licence - Histoire - Parcours Prépa science politique,100.0
Privé enseignement supérieur,Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Hauts-de-France,Licence - Langues étrangères appliquées - Parcours Langues et relations Internationales  - Anglais et Allemand,94.0
Privé enseignement supérieur,Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines,Hauts-de-France,"Licence - Arts du spectacle - Parcours Arts du spectacle, métiers de la culture et des arts",81.0
Privé sous contrat d'association,Lycée Saint Rémi,Hauts-de-France,BTS - Services - Conseil et commercialisation de solutions techniques,39.0
Privé sous contrat d'association,Lycée Saint Rémi,Hauts-de-France,BTS - Services - Support à l'action managériale,16.0
Privé sous contrat d'association,Lycée Jeanne D'Arc,Hauts-de-France,BTS - Services - Management en hôtellerie restauration,8.0
Privé sous contrat d'association,Lycée Jeanne D'Arc,Hauts-de-France,BTS - Services - Tourisme,52.0
Privé sous contrat d'association,Lycée Saint-Jean,Hauts-de-France,CPGE - ECG,100.0
Privé sous contrat d'association,Lycée Saint Martin,Hauts-de-France,BTS - Services - Podo-orthésiste,71.0
Privé sous contrat d'association,Lycée Polyvalent privé EIC Industriel et Commercial,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,17.0
Privé sous contrat d'association,Lycée Polyvalent privé EIC Industriel et Commercial,Hauts-de-France,BTS - Services - Banque conseiller de clientèle,48.0
Privé sous contrat d'association,Lycée Notre-Dame D'Annay,Hauts-de-France,BTS - Services - Analyses de biologie médicale,59.0
Privé sous contrat d'association,Lycée Notre-Dame D'Annay,Hauts-de-France,BTS - Services - Support à l'action managériale,25.0
Privé sous contrat d'association,Lycée Frédéric OZANAM,Hauts-de-France,BTS - Services - Métiers des Services à l'environnement,41.0
Privé sous contrat d'association,Lycée professionnel privé Numérique des Métiers EPIL (Campus Sup' Groupe OEC),Hauts-de-France,BTS - Production - Systèmes constructifs bois et habitat,21.0
Privé sous contrat d'association,Lycée professionnel Notre-Dame du Sacré Coeur,Hauts-de-France,BTS - Services - Métiers de la coiffure,37.0
Privé sous contrat d'association,Lycée THEOPHILE LEGRAND,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,26.0
Privé sous contrat d'association,Lycée THEOPHILE LEGRAND,Hauts-de-France,DN MADE - Objet - Spécialité : Le produit dans l'accessoire de mode : Objet / Matériaux,51.0
Privé sous contrat d'association,Lycée THEOPHILE LEGRAND,Hauts-de-France,DN MADE - Objet - Spécialité : Design de l'Objet et de son Environnement : Objet / Graphisme,62.0
Public,I.U.T. de Valenciennes,Hauts-de-France,"BUT - Génie industriel et maintenance (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",62.0
Privé sous contrat d'association,Lycée Vauban,Hauts-de-France,BTS - Services - Gestion de la PME,29.0
Privé sous contrat d'association,Lycée Saint Luc Cambrai,Hauts-de-France,BTS - Services - Services informatiques aux organisations,43.0
Privé sous contrat d'association,Lycée Saint Pierre,Hauts-de-France,BTS - Services - Economie sociale familiale,31.0
Privé sous contrat d'association,Lycée polyvalent privé La Salle,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,29.0
Privé sous contrat d'association,Lycée polyvalent privé La Salle,Hauts-de-France,BTS - Services - Comptabilité et gestion,31.0
Privé sous contrat d'association,Lycée polyvalent privé La Salle,Hauts-de-France,BTS - Services - Négociation et digitalisation de la Relation Client,15.0
Privé enseignement supérieur,Institut Social de Lille - Institut Catholique de Lille,Hauts-de-France,Licence - Sociologie - Parcours Sociologie option travail social,77.0
Privé enseignement supérieur,Institut Social de Lille - Institut Catholique de Lille,Hauts-de-France,D.E Assistant de Service Social,66.0
Privé enseignement supérieur,IESEG School of Management - Lille,Hauts-de-France,Formation des écoles de commerce et de management Bac + 3 - Bachelor in International Business,93.0
Public,"Lycée de la Nature et des Biotechnologies, Douai Bio Tech'",Hauts-de-France,"BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques",33.0
Privé sous contrat d'association,lycée E.P.I.D.,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",37.0
Privé sous contrat d'association,lycée E.P.I.D.,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",34.0
Privé sous contrat d'association,lycée E.P.I.D.,Hauts-de-France,BTS - Production - Conception et réalisation en chaudronnerie industrielle,25.0
Public,IUT LITTORAL (DUNKERQUE),Hauts-de-France,BUT - Techniques de commercialisation,43.0
Public,Lycée professionnel DINAH DERYCKE,Hauts-de-France,Mention complémentaire - Dispositif SAS - Préparation à l'apprentissage,0.0
Public,E.S.AA.T.,Hauts-de-France,DN MADE - Espace - Spécialité : Espaces habités,46.0
Public,IFSI Institut Gernez Rieux CHru de Lille,Hauts-de-France,D.E Infirmier,50.0
Public,IFSI CH Valenciennes,Hauts-de-France,D.E Infirmier,47.0
Privé sous contrat d'association,IFSI Ambroise Paré,Hauts-de-France,D.E Infirmier,51.0
Privé sous contrat d'association,Institut Saint Vincent De Paul,Hauts-de-France,DN MADE - Graphisme - Spécialité :  Explorations typographiques Majeure : Graphisme. Mineures : Typographie ? Livre - Numérique,59.0
Public,Lycée Jean Prouve,Hauts-de-France,BTS - Production - Bâtiment,28.0
Public,Lycée Jean Prouve,Hauts-de-France,BTS - Production - Enveloppe des bâtiments : conception et réalisation,21.0
Public,Lycée de L'Escaut,Hauts-de-France,BTS - Production - Bioanalyses et contrôles,46.0
Public,Lycée INTERNATIONAL MONTEBELLO,Hauts-de-France,BTS - Services - Support à l'action managériale,23.0
Public,Sciences Po Lille - Institut d'études politiques,Hauts-de-France,Sciences Po / Instituts d'études politiques - Sciences Humaines et Sociales - Grade Master - Double diplôme Franco-Britannique,100.0
Public,Lycée André Lurçat,Hauts-de-France,BTS - Services - Support à l'action managériale,17.0
Public,Université du littoral - Site de Dunkerque,Hauts-de-France,Licence - Sciences et Techniques des Activités Physiques et Sportives,85.0
Privé enseignement supérieur,ICL - ISTC,Hauts-de-France,Licence - Economie et gestion - Parcours Communication,91.0
Public,Université d'Artois - Site de Douai,Hauts-de-France,Licence - Portail Droit -  classique,83.0
Privé sous contrat d'association,IRTS HDF - Site Métropole Lilloise,Hauts-de-France,D.E Educateur Spécialisé,65.0
Privé enseignement supérieur,Institut Catholique de Lille-Faculté Libre Droit,Hauts-de-France,"Licence - Droit - Parcours multilingue, droit international et européen",100.0
Public,I.U.T. de Valenciennes - Site de Maubeuge,Hauts-de-France,BUT - Informatique,84.0
Public,Lycée du PAYS DE CONDE,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,12.0
Privé enseignement supérieur,Institut Catholique de Lille - ESPOL European School of Political and Social Sciences,Hauts-de-France,Licence - Science politique - Parcours Relations Internationales,100.0
Privé enseignement supérieur,Institut Catholique de Lille - ESPOL European School of Political and Social Sciences,Hauts-de-France,Licence - Science politique - Parcours Licence européenne de science politique,100.0
Public,LYCEE POLYVALENT DU VAL DE LYS,Hauts-de-France,BTS - Production - Aéronautique,35.0
Public,Université de Lille,Hauts-de-France,Licence - Histoire - Parcours Histoire et géographie,91.0
Public,Université de Lille,Hauts-de-France,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université de Lille,Hauts-de-France,"Licence - Portail Mathématiques et informatique appliquées aux sciences humaines et sociales - Mathématiques, économie, finances",97.0
Public,Université de Lille,Hauts-de-France,Licence - Portail Mathématiques - Mathématiques Informatique option Renforcé Recherche,100.0
Public,Université de Lille,Hauts-de-France,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université de Lille,Hauts-de-France,Licence - Administration économique et sociale,78.0
Public,Université de Lille,Hauts-de-France,"Licence - Portail Mathématiques et informatique appliquées aux sciences humaines et sociales - Mathématiques, économie, finances",94.0
Public,Université de Lille,Hauts-de-France,Licence - Portail Information et communication - Sciences de l'information et du document,87.0
Public,Université de Lille,Hauts-de-France,Licence - Lettres - Parcours Lettres classiques,91.0
Public,Université de Lille,Hauts-de-France,Licence - Portail Mathématiques Physique Chimie Sciences de l'Ingénieur (ex SESI),97.0
Public,Université de Lille,Hauts-de-France,DEUST - Intervention Sociale,46.0
Public,Université de Lille,Hauts-de-France,Licence - Langues étrangères appliquées - Parcours Anglais néerlandais appliqués aux affaires,83.0
Public,Université de Lille,Hauts-de-France,Licence - Portail Sciences pour la santé,96.0
Public,Université de Lille,Hauts-de-France,Licence - Langues étrangères appliquées - Parcours Anglais portugais appliqués aux affaires,81.0
Public,Université de Lille,Hauts-de-France,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Langues scandinaves",91.0
Public,Université de Lille,Hauts-de-France,"Licence - Portail Géographie et aménagement - Option Journalisme parcours : Géo., Histoire, Histoire de l'art, Philosophie, Socio-ethno et politiques sociales, études culturelles (Académie ESJ)",100.0
Public,Université de Lille,Hauts-de-France,Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours management du sport option journalisme (Académie ESJ),100.0
Public,Université de Lille,Hauts-de-France,Licence - Arts - Parcours Etudes en danse,78.0
Public,Université de Lille,Hauts-de-France,Double licence - Sociologie / Economie et gestion - Economie et gestion / sociologie,99.0
Public,Université de Lille,Hauts-de-France,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Italien",88.0
Public,Université de Lille,Hauts-de-France,Licence - Langues étrangères appliquées - Parcours Anglais russe appliqués aux affaires,84.0
Public,Université de Lille,Hauts-de-France,Licence - Sciences de l'éducation,85.0
Public,Université Polytechnique Hauts-de-France,Hauts-de-France,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - STAPS - Sciences et Techniques des Activités Physiques et Sportives,99.0
Public,Université Polytechnique Hauts-de-France,Hauts-de-France,Licence - Arts - Parcours Arts plastiques,80.0
Public,Université Polytechnique Hauts-de-France,Hauts-de-France,"Licence - Génie civil - Parcours Génie Civil, Architectural et Urbain",96.0
Public,Université Polytechnique Hauts-de-France - Site de CAMBRAI,Hauts-de-France,Licence - Portail Sciences de la vie - Biotechnologies et Agroalimentaire (Cambrai),86.0
Public,Institut universitaire de technologie de Lille - Université de Lille,Hauts-de-France,BUT - Génie biologique parcours biologie médicale et biotechnologie,64.0
Public,IUT de l'Université de Lille - site de Roubaix,Hauts-de-France,BUT - Techniques de commercialisation,60.0
Public,IUT de l'Université de Lille - site de Tourcoing,Hauts-de-France,BUT - Management de la Logistique et des Transports,62.0
Public,Lycée Felix Faure,Hauts-de-France,BTS - Services - Comptabilité et gestion,25.0
Public,Lycée Paul Langevin,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",26.0
Public,Lycée CASSINI,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,29.0
Public,Lycée Mireille Grenet,Hauts-de-France,BTS - Services - Support à l'action managériale,19.0
Public,Lycée Marie Curie,Hauts-de-France,BTS - Production - Conception de produits industriels,28.0
Public,Lycée Marie Curie,Hauts-de-France,BTS - Services - Analyses de biologie médicale,53.0
Public,Lycée Marie Curie,Hauts-de-France,BTS - Production - Forge,58.0
Public,Lycée Jean Calvin,Hauts-de-France,CPGE - ECG -  - Mathématiques appliquées + ESH,100.0
Privé enseignement supérieur,ESCOM Chimie Compiègne,Hauts-de-France,Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences,100.0
Public,UTC Université de Technologie de Compiègne,Hauts-de-France,Formation des écoles de commerce et de management Bac + 4,100.0
Public,Cursus Humanités et technologie UTC Université de Technologie de Compiègne,Hauts-de-France,Formation d'ingénieur Bac + 5 - Série générale,100.0
Privé sous contrat d'association,Lycée Général et Technologique Jean-Paul II,Hauts-de-France,BTS - Services - Service et prestation des secteurs sanitaire et social,29.0
Public,Institut de Formation en Soins Infirmiers - COMPIÈGNE,Hauts-de-France,D.E Infirmier,59.0
Public,Lycée Hugues Capet,Hauts-de-France,BTS - Services - Commerce International,56.0
Public,Lycée Jean Monnet,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,27.0
Public,I.U.T de l'Oise - Site de Creil,Hauts-de-France,BUT - Techniques de commercialisation,53.0
Public,Université d'Amiens - Antenne de Beauvais,Hauts-de-France,"Licence - Portail Langues étrangères appliquées - Portail Licence Langues Etrangères Appliquées (LEA) / Langues, Littératures et Cultures Etrangères et Régionales (LLCER)",76.0
Privé sous contrat d'association,APRADIS - Site Beauvais,Hauts-de-France,D.E Assistant de Service Social,50.0
Public,Lycée Les Andaines,Normandie,BTS - Services - Management Commercial Opérationnel,15.0
Public,Lycée Jean Guehenno,Normandie,BTS - Services - Gestion de la PME,14.0
Privé sous contrat d'association,Lycée Saint Thomas D'Aquin,Normandie,"BTS - Services - Comptabilité et gestion (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",43.0
Public,Lycée agricole Auguste Loutreuil,Normandie,BTS - Agricole - Gestion et protection de la nature,54.0
Privé hors contrat,IFRES d'Alençon,Normandie,D.E Pédicure-Podologue,98.0
Public,Lycée Robespierre,Hauts-de-France,CPGE - BCPST,100.0
Public,Lycée Andre Malraux,Hauts-de-France,BTS - Services - Communication,47.0
Public,Lycée Andre Malraux,Hauts-de-France,BTS - Services - Services informatiques aux organisations,38.0
Public,Lycée Andre Malraux,Hauts-de-France,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",20.0
Public,Lycée Andre Malraux,Hauts-de-France,BTS - Production - Conception et Réalisation de Systèmes Automatiques,11.0
Public,Lycée Edouard Branly,Hauts-de-France,BTS - Production - Conception de produits industriels,22.0
Public,Lycée Pierre De Coubertin,Hauts-de-France,BTS - Services - Professions immobilières,58.0
Public,Lycée Sophie Berthelot,Hauts-de-France,BTS - Services - Tourisme,71.0
Public,Lycée Sophie Berthelot,Hauts-de-France,BTS - Services - Banque conseiller de clientèle,53.0
Public,Lycée Condorcet,Hauts-de-France,BTS - Services - Gestion de la PME,28.0
Public,Lycée Henri Darras,Hauts-de-France,BTS - Production - Contrôle industriel et régulation automatique,19.0
Public,Lycée Anatole France,Hauts-de-France,BTS - Services - Support à l'action managériale,18.0
Public,Lycée Eugene Woillez,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,8.0
Public,Lycée Albert Chatelet,Hauts-de-France,BTS - Services - Gestion de la PME,14.0
Public,Lycée Albert Chatelet,Hauts-de-France,BTS - Services - Négociation et digitalisation de la Relation Client,15.0
Public,Lycée professionnel Henri Darras,Hauts-de-France,Mention complémentaire - Animation-gestion de projets dans le secteur sportif,43.0
Public,Lycée professionnel Henri Darras,Hauts-de-France,Mention complémentaire - Technicien(ne) en tuyauterie,0.0
Public,Université du littoral - Site de Calais -,Hauts-de-France,Licence - Portail Mathématiques,97.0
Public,Université du littoral - Site de Calais -,Hauts-de-France,"Licence - Portail Physique, chimie",89.0
Public,Lycée Guy Mollet,Hauts-de-France,BTS - Services - Comptabilité et gestion,40.0
Public,Lycée Guy Mollet,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,17.0
Public,Lycée professionnel Alain Savary,Hauts-de-France,BTS - Services - Métiers de la coiffure,40.0
Public,Lycée professionnel Alain Savary,Hauts-de-France,BTS - Services - Métiers des Services à l'environnement,44.0
Privé sous contrat d'association,Lycée NAZARETH-HAFFREINGUE,Hauts-de-France,CPGE - ECG,100.0
Privé sous contrat d'association,Lycée Baudimont Saint-Charles,Hauts-de-France,BTS - Production - Assistance technique d'ingénieur,48.0
Privé sous contrat d'association,Lycée Baudimont Saint-Charles,Hauts-de-France,BTS - Services - Gestion de la PME,47.0
Privé sous contrat d'association,Lycée Saint Joseph,Hauts-de-France,BTS - Services - Services informatiques aux organisations,36.0
Privé sous contrat d'association,Lycée Saint Joseph,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,31.0
Public,I.U.T. de Béthune,Hauts-de-France,BUT - Génie mécanique et productique,65.0
Public,I.U.T. de Béthune,Hauts-de-France,BUT - Chimie,83.0
Public,Lycée agro-environnemental d'Arras,Hauts-de-France,BTS - Agricole - Agronomie et cultures durables,40.0
Public,Lycée Jan Lavezzari,Hauts-de-France,BTS - Services - Service et prestation des secteurs sanitaire et social,17.0
Public,Lycée Jan Lavezzari,Hauts-de-France,BTS - Services - Economie sociale familiale,30.0
Public,Lycée Blaise Pascal,Hauts-de-France,BTS - Production - Electrotechnique,4.0
Public,Lycée des Métiers - Hotelier,Hauts-de-France,FCIL - entrepreunariat,67.0
Public,Lycée Mariette,Hauts-de-France,CPGE - MPSI,100.0
Public,Lycée Mariette,Hauts-de-France,BTS - Services - Commerce International,76.0
Public,Lycée Mariette,Hauts-de-France,BTS - Services - Support à l'action managériale,16.0
Public,Lycée Mariette,Hauts-de-France,BTS - Services - Service et prestation des secteurs sanitaire et social,11.0
Public,IFSI CH Boulogne Sur Mer,Hauts-de-France,D.E Infirmier,48.0
Privé enseignement supérieur,EPSI - Site d'ARRAS,Hauts-de-France,BTS - Services - Services informatiques aux organisations,58.0
Public,Institut de Formation en Soins Infirmiers - IFSI et IFAS - BERCK,Hauts-de-France,D.E Infirmier,56.0
Public,Lycée professionnel Maximilien de Robespierre,Hauts-de-France,BTS - Services - Opticien-Lunetier,46.0
Public,Lycée Marguerite Yourcenar,Hauts-de-France,BTS - Services - Economie sociale familiale,23.0
Public,Université d'Artois - Site de Lens,Hauts-de-France,Licence - Informatique,100.0
Public,Université d'Artois - Site de Lens,Hauts-de-France,"Licence - Portail Physique, chimie",93.0
Public,Université d'Artois - Site d'Arras,Hauts-de-France,Licence - Administration économique et sociale,71.0
Public,Lycée Vauban,Hauts-de-France,BTS - Services - Management Commercial Opérationnel,4.0
Public,I.U.T. de Lens,Hauts-de-France,BUT - Techniques de commercialisation,57.0
Public,IUT LITTORAL (SAINT OMER),Hauts-de-France,"BUT - Gestion administrative et commerciale des organisations - Parcours Management des activités culturelles, artistiques, sportives et de tourisme",62.0
Public,IUT LITTORAL (SAINT OMER),Hauts-de-France,BUT - Gestion administrative et commerciale des organisations,53.0
Privé sous contrat d'association,IRTS HDF - Site Artois,Hauts-de-France,D.E Educateur Spécialisé,58.0
Public,Université d'Artois - Site de Liévin,Hauts-de-France,Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Excellence ENS,90.0
Public,Université du littoral - Site de Saint-Omer,Hauts-de-France,"DEUST - Animation et gestion des activités physiques, sportives ou culturelles - parcours Loisirs sportifs Eco-Responsables",58.0
Public,EIL Côte d'Opale,Hauts-de-France,"Formation d'ingénieur Bac + 5 - Bac Général, STL et STAV",88.0
Public,GAMBETTA CARNOT,Hauts-de-France,CPGE - Lettres,100.0
Public,GAMBETTA CARNOT,Hauts-de-France,BTS - Production - Motorisations toutes énergies,37.0
Public,Lycée Blaise Pascal,Auvergne-Rhône-Alpes,CPGE - Lettres,100.0
Public,Lycée Blaise Pascal,Auvergne-Rhône-Alpes,CPGE - PCSI,100.0
Public,Lycée Blaise Pascal,Auvergne-Rhône-Alpes,CPGE - ECG,100.0
Public,Lycée Sidoine Apollinaire,Auvergne-Rhône-Alpes,BTS - Services - Services informatiques aux organisations,38.0
Public,Lycée Sidoine Apollinaire,Auvergne-Rhône-Alpes,BTS - Services - Professions immobilières,39.0
Public,Lycée Sidoine Apollinaire,Auvergne-Rhône-Alpes,BTS - Services - Support à l'action managériale,13.0
Public,Lycée Sidoine Apollinaire,Auvergne-Rhône-Alpes,BTS - Services - Comptabilité et gestion,44.0
Public,Lycée La Fayette,Auvergne-Rhône-Alpes,CPGE - TSI,0.0
Public,Lycée professionnel Roger Claustres,Auvergne-Rhône-Alpes,BTS - Production - Aéronautique,38.0
Public,Lycée professionnel Roger Claustres,Auvergne-Rhône-Alpes,Mention complémentaire - Technicien en peinture aéronautique,0.0
Public,Lycée Murat,Auvergne-Rhône-Alpes,BTS - Services - Négociation et digitalisation de la Relation Client,7.0
Public,Lycée Jean Zay,Auvergne-Rhône-Alpes,BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage,0.0
Public,Lycée Jean Zay,Auvergne-Rhône-Alpes,CPGE - PTSI,100.0
Public,Lycée Jean Zay,Auvergne-Rhône-Alpes,BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,11.0
Public,Lycée Ambroise Brugiere,Auvergne-Rhône-Alpes,BTS - Services - Assurance,31.0
Privé sous contrat d'association,ITSRA,Auvergne-Rhône-Alpes,D.E Educateur de Jeunes Enfants,50.0
Privé sous contrat d'association,Lycée Fenelon,Auvergne-Rhône-Alpes,CPGE - Lettres,100.0
Privé sous contrat d'association,LEAP St-Joseph,Auvergne-Rhône-Alpes,BTS - Agricole - Agronomie et cultures durables,37.0
Public,Lycée des Métiers de Chamalières,Auvergne-Rhône-Alpes,BTS - Services - Management en hôtellerie restauration,11.0
Public,Lycée des Métiers de Chamalières,Auvergne-Rhône-Alpes,Mention complémentaire - Sommellerie,5.0
Public,Institut Agro Enseignement à distance (CNPR),Auvergne-Rhône-Alpes,BTS - Agricole - Gestion et protection de la nature - Entièrement en distanciel,44.0
Public,Institut Agro Enseignement à distance (CNPR),Auvergne-Rhône-Alpes,BTS - Agricole - Agronomie et cultures durables - Entièrement en distanciel,25.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - LLCER Anglais disciplinaire",86.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,"Licence - Double diplôme - Licence Etudes européennes et internationales - Etudes européennes et internationales franco-allemandes, double diplôme Bachelor of Arts Deutsch-Französische Stüdien (Université de Regensburg)",99.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Portail Economie et Gestion -  Accès Santé,82.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Sciences du langage,89.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Parcours d'Accès Spécifique Santé (PASS),100.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Etudes culturelles - Parcours Métiers du livre et médiation numérique,94.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Portail Mathématiques - Informatique-Maths,92.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Allemand disciplinaire",92.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Langues étrangères appliquées - Parcours Anglais/Chinois,95.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Etudes européennes et internationales - Parcours Etudes européennes et internationales franco-espagnoles,99.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,"Licence - Portail Sciences pour la santé - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie",100.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,D.E Ergothérapeute,91.0
Public,Université Clermont Auvergne,Auvergne-Rhône-Alpes,Licence - Arts du spectacle,82.0
Public,I.U.T Clermont Auvergne - site d'Aubière,Auvergne-Rhône-Alpes,BUT - Gestion des entreprises et des administrations,62.0
Public,Lycée professionnel Gergovie,Auvergne-Rhône-Alpes,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,42.0
Public,Lycée Cantau,Nouvelle-Aquitaine,BTS - Production - Bâtiment,21.0
Public,Lycée Cantau,Nouvelle-Aquitaine,BTS - Production - Enveloppe des bâtiments : conception et réalisation,9.0
Public,Lycée Cantau,Nouvelle-Aquitaine,"BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique",10.0
Public,Lycée René Cassin Bayonne-Biarritz,Nouvelle-Aquitaine,BTS - Services - Métiers de l'audio-visuel opt : montage et post-production,72.0
Public,Lycée René Cassin Bayonne-Biarritz,Nouvelle-Aquitaine,BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,58.0
Public,Lycée Louis De Foix,Nouvelle-Aquitaine,BTS - Services - Management Commercial Opérationnel,20.0
Public,Lycée Louis De Foix,Nouvelle-Aquitaine,BTS - Services - Support à l'action managériale,16.0
Public,Lycée Louis De Foix,Nouvelle-Aquitaine,BTS - Production - Electrotechnique,4.0
